chr_distance,peak_score
20.0,1.7475413664382609
33.75,1.5408894482389206
63.75,1.4895701816191624
123.75,2.219784274935473
225.0,2.9014088467957344
387.5,2.538627575958831
675.0,2.3887351840177704
1350.0,1.6821174768210123
