6.250000000000000000e+03 1.000009038443347320e+00
8.750000000000000000e+03 4.257823772795313877e-01
1.125000000000000000e+04 2.074245492381329159e-01
1.500000000000000000e+04 1.181299593674768472e-01
2.000000000000000000e+04 7.339091356205411365e-02
2.625000000000000000e+04 4.956809756848490345e-02
3.375000000000000000e+04 3.511417578126845018e-02
4.250000000000000000e+04 2.649579492454727167e-02
5.500000000000000000e+04 2.011638968160707128e-02
7.125000000000000000e+04 1.565693137362796430e-02
9.125000000000000000e+04 1.292533415086456750e-02
1.175000000000000000e+05 1.079608215888715195e-02
1.512500000000000000e+05 9.267230277411633160e-03
1.950000000000000000e+05 7.956984535542341655e-03
2.512500000000000000e+05 6.614591813224789986e-03
3.225000000000000000e+05 5.258717852959627834e-03
4.150000000000000000e+05 4.068302919044713799e-03
5.350000000000000000e+05 2.964142234561402758e-03
6.887500000000000000e+05 2.093551073574047815e-03
8.862500000000000000e+05 1.421534333087382668e-03
1.140000000000000000e+06 9.194342244919014202e-04
1.466250000000000000e+06 5.402654594675578101e-04
1.886250000000000000e+06 3.265104041473943864e-04
2.426250000000000000e+06 2.044008169440874462e-04
3.122500000000000000e+06 1.265943782900710629e-04
4.018750000000000000e+06 1.002648170522891488e-04
5.171250000000000000e+06 1.278726146384068327e-04
6.653750000000000000e+06 1.878064456350180065e-04
