6.250000000000000000e+03 9.999300509342896603e-01
8.750000000000000000e+03 3.751108153973413128e-01
1.125000000000000000e+04 1.671342944105788098e-01
1.500000000000000000e+04 9.656013176187960845e-02
2.000000000000000000e+04 6.438511989495784849e-02
2.625000000000000000e+04 4.599234284302827769e-02
3.375000000000000000e+04 3.336176744485665896e-02
4.250000000000000000e+04 2.491829677279626051e-02
5.500000000000000000e+04 1.784073580391057345e-02
7.125000000000000000e+04 1.247430186816041869e-02
9.125000000000000000e+04 8.561828295257830831e-03
1.175000000000000000e+05 5.715907086371214106e-03
1.512500000000000000e+05 3.764357169321971234e-03
1.950000000000000000e+05 2.379768066682492415e-03
2.512500000000000000e+05 1.536701971355929845e-03
3.225000000000000000e+05 1.056302283876429590e-03
4.150000000000000000e+05 7.637655752952434264e-04
5.350000000000000000e+05 5.398831293303309577e-04
6.887500000000000000e+05 3.960337509216503354e-04
8.862500000000000000e+05 3.003311969179477494e-04
1.140000000000000000e+06 2.347775580765095436e-04
1.466250000000000000e+06 1.799664701996418542e-04
1.886250000000000000e+06 1.537056555949804228e-04
2.426250000000000000e+06 1.238232493174368774e-04
3.122500000000000000e+06 9.675810795504580632e-05
4.018750000000000000e+06 7.460786760361042750e-05
5.171250000000000000e+06 4.508521063447336368e-05
6.653750000000000000e+06 3.508395415226708684e-05
